tipe laka lantas;jumlah korban luka berat;jumlah korban luka ringan;jumlah korban meninggal dunia;latitude;longititude;direction;tipe cahaya;cuaca;fungsi jalan;kelas jalan;geometri jalan;tipe jalan;kecepatan;jenis jalan;lokasi jalan;kecamatan;jenis luka ;age;jenis kelamin;jenis kendaraan;cluster;kategori
tabrakan saat menyalip;0;1;0;-7,263428025;112,5860036;selatan (180°);terang / jelas;cerah;lokal / lingkungan;ii (jalan sedang utk beban s/d 10 ton & 12m  panjang ran);lurus;2/2 tb (2 lajur/2 arah tanpa batas median);50;jalan kota / kabupaten;jalan raya ds pelem watu kec menganti kab. gresik;menganti;kecelakaan ringan;nan;laki-laki;truck;0;tinggi
tabrakan saat menyalip;0;2;0;-7,367123915;112,6302686;selatan (180°);terang / jelas;cerah;lokal / lingkungan;ii (jalan sedang utk beban s/d 10 ton & 12m  panjang ran);lurus;2/2 tb (2 lajur/2 arah tanpa batas median);40;jalan kota / kabupaten;jalan raya ds. cangkir kec. driyorejo kab. gresik;driyorejo;kecelakaan ringan;46-65;laki-laki;r2 (sepeda motor);0;tinggi
tabrakan saat menyalip;0;1;0;-7,325895023;112,5541091;barat (270°);terang / jelas;cerah;lokal / lingkungan;ii (jalan sedang utk beban s/d 10 ton & 12m  panjang ran);lurus;2/2 tb (2 lajur/2 arah tanpa batas median);50;jalan kota / kabupaten;jalan raya ds. tanjung kec. kedamean kab. gresik;kedamean;kecelakaan ringan;26-45;laki-laki;mini bus;0;tinggi
tabrakan saat menyalip;1;1;0;-7,223368895;112,5250146;barat (270°);terang / jelas;cerah;lokal / lingkungan;ii (jalan sedang utk beban s/d 10 ton & 12m  panjang ran);lurus;2/2 tb (2 lajur/2 arah tanpa batas median);40;jalan kota / kabupaten;jalan raya ds. kandangan kec. cerme kab. gresik;cerme;kecelakaan berat;26-45;laki-laki;r2 (sepeda motor);2;rendah
tabrakan saat menyalip;1;0;0;-6,978941943;112,5414925;barat (270°);terang / jelas;cerah;arteri;i (jalan besar utk beban 10 ton & max 18 m panjang ran);lurus;2/2 tb (2 lajur/2 arah tanpa batas median);50;jalan nasional;jalan raya ds. golokan kec. sidayu kab. gresik;sidayu;kecelakaan berat;26-45;laki-laki;r2 (sepeda motor);2;rendah
tabrakan saat menyalip;0;2;0;-7,23978551;112,5576542;utara (0°);terang / jelas;cerah;lokal / lingkungan;ii (jalan sedang utk beban s/d 10 ton & 12m  panjang ran);lurus;2/2 tb (2 lajur/2 arah tanpa batas median);40;jalan kota / kabupaten;jalan raya ds. iker-iker kec. cerme kab. gresik;cerme;kecelakaan ringan;17-25;laki-laki;r2 (sepeda motor);0;tinggi
tabrakan saat menyalip;1;0;0;-7,343482367;112,6341404;selatan (180°);terang / jelas;cerah;lokal / lingkungan;ii (jalan sedang utk beban s/d 10 ton & 12m  panjang ran);lurus;2/2 tb (2 lajur/2 arah tanpa batas median);50;jalan kota / kabupaten;jalan raya ds petiken kec. driyorejo kab. gresik;driyorejo;kecelakaan berat;26-45;laki-laki;mini bus;2;rendah
tabrakan saat menyalip;0;2;0;-7,143973575;112,6152362;timur (90°);terang / jelas;cerah;lokal / lingkungan;ii (jalan sedang utk beban s/d 10 ton & 12m  panjang ran);lurus;2/2 tb (2 lajur/2 arah tanpa batas median);50;jalan kota / kabupaten;jalan raya gkb ds. yosowilangun kec. manyar kab. gresik;manyar;kecelakaan ringan;nan;perempuan;r2 (sepeda motor);0;tinggi
tabrakan saat menyalip;0;1;0;-6,911306493;112,524967;timur (90°);terang / jelas;cerah;lokal / lingkungan;ii (jalan sedang utk beban s/d 10 ton & 12m  panjang ran);lurus;2/2 tb (2 lajur/2 arah tanpa batas median);40;jalan kota / kabupaten;jalan raya ds. banyuurip kec. ujungpangkah kab. gresik;ujungpangkah;kecelakaan ringan;<17;perempuan;r2 (sepeda motor);1;sedang
tabrakan saat menyalip;2;0;0;-7,371538681;112,5872654;timur (90°);terang / jelas;cerah;lokal / lingkungan;ii (jalan sedang utk beban s/d 10 ton & 12m  panjang ran);lurus;2/2 tb (2 lajur/2 arah tanpa batas median);40;jalan kota / kabupaten;jalan raya larangan ds. krikilan kec. driyorejo kab. gresik;driyorejo;kecelakaan berat;17-25;laki-laki;r2 (sepeda motor);2;rendah
tabrakan saat menyalip;1;2;0;-7,300421612;112,613297;timur (90°);terang / jelas;cerah;lokal / lingkungan;ii (jalan sedang utk beban s/d 10 ton & 12m  panjang ran);lurus;2/2 tb (2 lajur/2 arah tanpa batas median);50;jalan kota / kabupaten;jalan raya ds. setro kec. menganti kab. gresik;menganti;kecelakaan berat;26-45;laki-laki;mini truk;2;rendah
tabrakan saat menyalip;1;0;0;-7,369731474;112,5973833;barat (270°);terang / jelas;cerah;lokal / lingkungan;ii (jalan sedang utk beban s/d 10 ton & 12m  panjang ran);lurus;2/2 tb (2 lajur/2 arah tanpa batas median);50;jalan kota / kabupaten;jalan raya ds. driyorejo kec. driyorejo kab. gresik;driyorejo;kecelakaan berat;26-45;laki-laki;r2 (sepeda motor);2;rendah
tabrakan saat menyalip;1;1;0;-7,191528137;112,6434056;barat (270°);terang / jelas;cerah;lokal / lingkungan;ii (jalan sedang utk beban s/d 10 ton & 12m  panjang ran);lurus;2/2 tb (2 lajur/2 arah tanpa batas median);50;jalan kota / kabupaten;jalan raya mayjend sungkono kel. segoromadu kec. kebomas kab. gresik;kebomas;kecelakaan ringan;26-45;laki-laki;r2 (sepeda motor);2;rendah
tabrakan saat menyalip;0;2;0;-7,22140885;112,5695228;utara (0°);terang / jelas;cerah;arteri;i (jalan besar utk beban 10 ton & max 18 m panjang ran);lurus;2/2 tb (2 lajur/2 arah tanpa batas median);40;jalan nasional;jalan raya ds. cerme lor kec. cerme kab. gresik;cerme;kecelakaan ringan;17-25;laki-laki;medium truk;0;tinggi
tabrakan saat menyalip;0;1;0;-7,406635896;112,4975102;timur (90°);terang / jelas;cerah;lokal / lingkungan;ii (jalan sedang utk beban s/d 10 ton & 12m  panjang ran);lurus;2/2 tb (2 lajur/2 arah tanpa batas median);50;jalan kota / kabupaten;jalan raya ds. kedunganyar kec. wringinanom kab. gresik;wringinanom;kecelakaan ringan;nan;laki-laki;r2 (sepeda motor);1;sedang
tabrakan saat menyalip;0;2;0;-7,389205568;112,5620801;timur (90°);terang / jelas;cerah;kolektor;i (jalan besar utk beban 10 ton & max 18 m panjang ran);lurus;2/2 tb (2 lajur/2 arah tanpa batas median);50;jalan propinsi;jalan raya ds. pasinan lemahputih kec. wringinanom kab. gresik;wringinanom;kecelakaan ringan;26-45;laki-laki;r2 (sepeda motor);0;tinggi
tabrakan saat menyalip;0;4;0;-7,324089428;112,5661603;utara (0°);terang / jelas;cerah;kolektor;i (jalan besar utk beban 10 ton & max 18 m panjang ran);lurus;2/2 tb (2 lajur/2 arah tanpa batas median);50;jalan propinsi;jalan raya desa kedamean kecamatan kedamean kabupaten gresik;kedamean;kecelakaan ringan;17-25;laki-laki;r2 (sepeda motor);0;tinggi
tabrakan saat menyalip;0;2;0;-7,260682617;112,5674328;selatan (180°);terang / jelas;cerah;lokal / lingkungan;ii (jalan sedang utk beban s/d 10 ton & 12m  panjang ran);lurus;2/2 tb (2 lajur/2 arah tanpa batas median);40;jalan kota / kabupaten;jalan raya desa putat lor kecamatan menganti kabupaten gresik;menganti;kecelakaan ringan;46-65;perempuan;r2 (sepeda motor);0;tinggi
tabrakan saat menyalip;0;3;0;-7,289900394;112,5617204;timur (90°);terang / jelas;cerah;lokal / lingkungan;ii (jalan sedang utk beban s/d 10 ton & 12m  panjang ran);lurus;2/2 tb (2 lajur/2 arah tanpa batas median);40;jalan kota / kabupaten;jalan raya ds. bringkang kec. menganti kab. gresik;menganti;kecelakaan ringan;17-25;laki-laki;r2 (sepeda motor);0;tinggi
tabrakan saat menyalip;0;0;1;-7,252306406;112,5578771;timur (90°);terang / jelas;cerah;lokal / lingkungan;ii (jalan sedang utk beban s/d 10 ton & 12m  panjang ran);lurus;2/2 tb (2 lajur/2 arah tanpa batas median);40;jalan kota / kabupaten;jalan raya desa morowudi kecamatan cerme kabupaten gresik;cerme;kecelakaan fatal;17-25;laki-laki;r2 (sepeda motor);0;tinggi
tabrakan saat menyalip;0;1;0;-7,175543583;112,5826328;selatan (180°);terang / jelas;cerah;kolektor;i (jalan besar utk beban 10 ton & max 18 m panjang ran);lurus;2/2 tb (2 lajur/2 arah tanpa batas median);40;jalan propinsi;jalan raya desa banjarsari kecamatan cerme kabupaten gresik;cerme;kecelakaan ringan;<17;laki-laki;mini bus;0;tinggi
tabrakan saat menyalip;0;2;0;-7,179130762;112,5807874;utara (0°);terang / jelas;cerah;kolektor;i (jalan besar utk beban 10 ton & max 18 m panjang ran);lurus;2/2 tb (2 lajur/2 arah tanpa batas median);40;jalan propinsi;jalan raya ds. banjarsari kec. cerme kab. gresik;cerme;kecelakaan ringan;nan;laki-laki;r2 (sepeda motor);0;tinggi
tabrakan saat menyalip;0;1;0;-6,979631488;112,5426894;barat (270°);terang / jelas;cerah;arteri;i (jalan besar utk beban 10 ton & max 18 m panjang ran);lurus;2/2 tb (2 lajur/2 arah tanpa batas median);50;jalan nasional;jalan raya ds. golokan kec. sidayu kab. gresik;sidayu;kecelakaan ringan;<17;laki-laki;mini truk;1;sedang
tabrakan saat menyalip;0;1;0;-7,171154297;112,5115771;utara (0°);terang / jelas;cerah;lokal / lingkungan;ii (jalan sedang utk beban s/d 10 ton & 12m  panjang ran);lurus;2/2 tb (2 lajur/2 arah tanpa batas median);50;jalan kota / kabupaten;jalan raya desa sumengko kecamatan duduksampeyan kabupaten gresik;duduk sampeyan;kecelakaan ringan;<17;laki-laki;r2 (sepeda motor);1;sedang
